#region irank jrank  MPI_call buffer_size ncalls total_time min_time max_time
ipm_noregion 10 0 MPI_File_open 0 3 4.0277e-01 6.3300e-03 2.9542e-01
ipm_noregion 1 0 MPI_File_open 0 3 2.9797e-01 4.6339e-03 2.8701e-01
ipm_noregion 8 0 MPI_File_open 0 3 3.9717e-01 6.3350e-03 2.9184e-01
ipm_noregion 9 0 MPI_File_open 0 3 4.0043e-01 6.3291e-03 2.9349e-01
ipm_noregion 7 0 MPI_File_open 0 3 3.9879e-01 6.3291e-03 2.9083e-01
ipm_noregion 13 0 MPI_File_open 0 3 7.3278e-01 6.3200e-03 6.1358e-01
ipm_noregion 0 0 MPI_File_open 0 3 1.2819e-01 6.3348e-03 1.1288e-01
ipm_noregion 11 0 MPI_File_open 0 3 4.0533e-01 6.3310e-03 2.9446e-01
ipm_noregion 4 0 MPI_File_open 0 3 2.9347e-01 4.5869e-03 2.8256e-01
ipm_noregion 3 0 MPI_File_open 0 3 2.9948e-01 4.2701e-03 2.8888e-01
ipm_noregion 15 0 MPI_File_open 0 3 8.1681e-01 6.3210e-03 6.9761e-01
ipm_noregion 2 0 MPI_File_open 0 3 2.9934e-01 6.3319e-03 2.8540e-01
ipm_noregion 0 0 MPI_File_write_at 2147479552 1 1.1712e+01 1.1712e+01 1.1712e+01
ipm_noregion 4 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 3 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 2 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 15 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 13 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 0 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 11 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 1 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 8 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 7 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 9 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 14 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 5 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 10 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 12 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 6 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 12 0 MPI_Gather 134217728 1 2.6906e+00 2.6906e+00 2.6906e+00
ipm_noregion 10 0 MPI_Gather 134217728 1 2.1867e+00 2.1867e+00 2.1867e+00
ipm_noregion 6 0 MPI_Gather 134217728 1 1.9901e+00 1.9901e+00 1.9901e+00
ipm_noregion 14 0 MPI_Gather 134217728 1 2.6035e+00 2.6035e+00 2.6035e+00
ipm_noregion 5 0 MPI_Gather 134217728 1 1.7898e+00 1.7898e+00 1.7898e+00
ipm_noregion 7 0 MPI_Gather 134217728 1 2.0176e+00 2.0176e+00 2.0176e+00
ipm_noregion 9 0 MPI_Gather 134217728 1 2.1737e+00 2.1737e+00 2.1737e+00
ipm_noregion 8 0 MPI_Gather 134217728 1 2.1043e+00 2.1043e+00 2.1043e+00
ipm_noregion 1 0 MPI_Gather 134217728 1 1.7481e+00 1.7481e+00 1.7481e+00
ipm_noregion 11 0 MPI_Gather 134217728 1 2.1794e+00 2.1794e+00 2.1794e+00
ipm_noregion 0 0 MPI_Gather 134217728 1 1.8703e+00 1.8703e+00 1.8703e+00
ipm_noregion 13 0 MPI_Gather 134217728 1 2.6846e+00 2.6846e+00 2.6846e+00
ipm_noregion 15 0 MPI_Gather 134217728 1 2.6180e+00 2.6180e+00 2.6180e+00
ipm_noregion 2 0 MPI_Gather 134217728 1 1.7476e+00 1.7476e+00 1.7476e+00
ipm_noregion 3 0 MPI_Gather 134217728 1 1.7986e+00 1.7986e+00 1.7986e+00
ipm_noregion 4 0 MPI_Gather 134217728 1 1.7481e+00 1.7481e+00 1.7481e+00
